Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Damage ($Mil),Houses Destroyed,Total Missing,Total Injuries
1911,1,30,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,"P,W",1335,4,,543,,199
2006,11,30,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,1,m,1266,4,,,,
1814,2,1,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,4,"P,M,E",1200,4,,,,
1951,12,4,Hibok-Hibok,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,P,500,3,,,1500,
1965,9,28,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,"P,W",355,3,,,,
1991,6,15,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,"P,m,I",847,3,,,,4
1897,5,23,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,"P,T,M",350,3,,,,
1981,6,30,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,m,200,3,,,,
1993,2,2,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,P,75,2,,,,
1950,9,15,Hibok-Hibok,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,P,68,2,,,,
1995,9,6,Parker,Mindanao-Philippines,Philippines,6.113,124.892,1824,Stratovolcano,,,60,2,,300,,
1766,7,20,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,m,49,1,,,,
2020,1,12,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,3,T,39,1,67,4573,,
1853,7,13,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,P,34,1,,,,
1887,3,9,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,T,15,1,,,,
1993,10,4,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,,m,14,1,,,,
1952,,,Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,2329,Compound volcano,1,,12,1,,,,
1968,4,21,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,"M,P",6,1,,,,
1992,7,12,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,m,6,1,,,,
2013,5,7,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,,5,1,,,,8
1993,6,26,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,m,4,1,,,,
1871,12,8,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,P,3,1,,,,
1996,8,10,Kanlaon,Philippines-C,Philippines,10.412,123.132,2435,Stratovolcano,2,T,3,1,,,,18
1949,6,,Hibok-Hibok,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,P,2,1,,,,
1954,,,Hibok-Hibok,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,,m,2,1,,,,
1984,9,9,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,M,1,1,,,,
2006,6,7,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,1,1,,,,
2011,2,23,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,1,1,,,,
1716,9,24,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,,,1,,,,
1754,11,28,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,"W,T",,1,,,,
1572,,,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,3,L,,,,,,
1749,8,11,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,3,,,1,,,,
1928,1,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,P,,1,,,,
1800,10,30,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,,,1,,,,
1858,1,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,P,,1,,,,
1871,4,30,Hibok-Hibok,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,2,,,1,,,,
1873,1,16,Ragang,Mindanao-Philippines,Philippines,7.691,124.507,2790,Stratovolcano,2,,,1,,,,
1874,7,19,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,2,,,1,,,,
1933,12,25,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,,,,,,
1938,6,5,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,,,1,,,,
1947,1,7,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,,,1,,,,
1969,3,21,Didicas,Luzon-N of,Philippines,19.077,122.202,228,Compound volcano,2,W,,,,,,
1978,7,29,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,,,,,,
2018,1,13,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,"T,P",,,3.564,,,1972
